Category: All categories

Month,インフルエンザ: (Tokyo)
2013-10,9
2013-11,20
2013-12,14
2014-01,37
2014-02,45
2014-03,25
2014-04,10
2014-05,3
2014-06,1
2014-07,2
2014-08,1
2014-09,2
2014-10,9
2014-11,21
2014-12,41
2015-01,58
2015-02,18
2015-03,7
2015-04,5
2015-05,2
2015-06,1
2015-07,1
2015-08,1
2015-09,3
2015-10,15
2015-11,20
2015-12,13
2016-01,23
2016-02,59
2016-03,25
2016-04,9
2016-05,3
2016-06,2
2016-07,1
2016-08,1
2016-09,3
2016-10,12
2016-11,29
2016-12,28
2017-01,44
2017-02,36
2017-03,14
2017-04,9
2017-05,4
2017-06,2
2017-07,2
2017-08,2
2017-09,4
2017-10,15
2017-11,26
2017-12,30
2018-01,70
2018-02,50
2018-03,12
2018-04,4
2018-05,2
2018-06,2
2018-07,1
2018-08,1
2018-09,6
2018-10,17
2018-11,26
2018-12,27
2019-01,100
2019-02,36
2019-03,7
2019-04,8
2019-05,5
